Variable Name,Description,Value/Line Reference,,Type
STATE,The state associated with the return,Two-digit state abbreviation code,,Char
AGI_STUB,Size of adjusted gross income,"0 = No AGI Stub1 = ‘Under $1’2 = '$1 under $10,000'3 = '$10,000 under $25,000'4 = '$25,000 under $50,000'5 = '$50,000 under $75,000'6 = '$75,000 under $100,000'7 = '$100,000 under $200,000'8 = ‘$200,000 under $500,000’9 = ‘$500,000 under $1,000,000’10 = ‘$1,000,000 or more’",,Num
N1,Number of returns,,,Num
MARS1,Number of single returns,Filing status is single,,Num
MARS2,Number of joint returns,Filing status is married filing jointly,,Num
MARS4,Number of head of household returns,Filing status is head of household,,Num
ELF,Number of electronically filed returns,,,Num
CREP,Number of computer prepared paper returns,,,Num
PREP,Number of returns with paid preparer's signature,,,Num
DIR_DEP,Number of returns with direct deposit,,,Num
N2,Number of individuals [3],,,Num
NUMDEP,Number of dependents,,,Num
TOTAL_VITA,Total number of volunteer prepared returns [4],,,Num
VITA,Number of volunteer income tax assistance (VITA) prepared returns [4],,,Num
MVITA,Number of military volunteer prepared returns [4],,,Num
TCE,Number of tax counseling for the elderly (TCE) prepared returns [4],,,Num
VITA_EIC,Number of volunteer prepared returns with Earned Income Credit,,,Num
RAC,Number of refund anticipation check returns,,,Num
ELDERLY,Number of elderly returns [5],,,Num
A00100,Adjust gross income (AGI) [6],1040:07:00,,Num
N02650,Number of returns with total income,1040:06:00,,Num
A02650,Total income amount,1040:06:00,,Num
N00200,Number of returns with salaries and wages,1040:01:00,,Num
A00200,Salaries and wages amount,1040:01:00,,Num
N00300,Number of returns with taxable interest,1040:2b,,Num
A00300,Taxable interest amount,1040:2b,,Num
N00600,Number of returns with ordinary dividends ,1040:3b,,Num
A00600,Ordinary dividends amount,1040:3b,,Num
N00650,Number of returns with qualified dividends,1040:3a,Num,
A00650,Qualified dividends amount [7],1040:3a,Num,
N00700,Number of returns with state and local income tax refunds,Schedule 1:10,Num,
A00700,State and local income tax refunds amount,Schedule 1:10,Num,
N00900,Number of returns with business or professional net income (less loss),Schedule 1:12,Num,
A00900,Business or professional net income (less loss) amount,Schedule 1:12,Num,
N01000,Number of returns with net capital gain (less loss),Schedule 1:13,Num,
A01000,Net capital gain (less loss) amount,Schedule 1:13,Num,
N01750,"Number of returns with taxable individual retirement arrangements (IRA), pensions and annuities",1040:4a, Num,
A01750,"Taxable IRA, pensions and annuities amount",1040:4a, Num,
SCHF,Number of farm returns,Schedule 1:18,Num,
N02300,Number of returns with unemployment compensation,Schedule 1:19,Num,
A02300,Unemployment compensation amount [8],Schedule 1:19,Num,
N02500,Number of returns with taxable Social Security benefits,1040:5b,Num,
A02500,Taxable Social Security benefits amount,1040:5b,Num,
N26270,Number of returns with partnership/S-corp net income (less loss),Schedule E:32,Num,
A26270,Partnership/S-corp net income (less loss) amount,Schedule E:32,Num,
N02900,Number of returns with total statutory adjustments,Schedule 1:36,Num,
